t_s,B_x_nT,B_y_nT,B_z_nT
323,11462.0205135407,30628.8014996131,11696.7856749163
323.5,12213.5618326571,30907.8370574253,10135.0725229613
324,13014.5364258069,31076.239572314,8540.74029673854
324.5,13857.2457206155,31129.1006058166,6919.65995086684
325,14733.5789888217,31062.2585452661,5277.81062305973
325.5,15635.0787705039,30872.3326448136,3621.25740766956
326,16553.0089740535,30556.7510554291,1956.1287915041
326.5,17478.4250725915,30113.7726357658,288.593836879185
327,18402.2458053984,29542.5023931396,-1375.16080221226
327.5,19315.325787303,28842.9004614916,-3028.95394434671
328,20208.5284296032,28015.784580298,-4666.63293860521
328.5,21072.798582636,27062.8260942503,-6282.09662954007
329,21899.2343221542,25986.5395475326,-7869.31814291575
329.5,22679.157318698,24790.2659981201,-9422.36740668567
330,23404.1812506368,23478.1502262895,-10935.4333227156
330.5,24066.277746924,22055.112057115,-12402.8455061207
331,24657.8393742944,20526.8120588926,-13819.0955107619
331.5,25171.7392150722,18899.6119180337,-15178.8574614193
332,25601.386615428,17180.5298259301,-16477.0080154439
332.5,25940.7787193495,15377.1912446237,-17708.6455792496
333,26184.5474403309,13497.7754458719,-18869.1087078545
333.5,26328.0015605009,11550.9582424827,-19953.9936187997
334,26367.1636852732,9545.8513517441,-20959.1707551403
334.5,26298.8018204007,7491.93884850892,-21880.8003358297
335,26120.455377356,5399.01118018562,-22715.346835659
335.5,25830.4554521272,3277.09722762851,-23459.5923409883
336,25427.9392617291,1136.39490483947,-24110.6487317647
336.5,24912.8586619357,-1012.79920344974,-24665.9686447771
337,24285.9827089099,-3160.16066380772,-25123.355177711
337.5,23548.8942665276,-5295.40797251841,-25480.9702983289
338,22703.9807002295,-7408.37278918147,-25737.3419279938
338.5,21754.4187371485,-9489.06912913798,-25891.3696737502
339,20704.1536109787,-11527.7610260987,-25942.329188261
339.5,19557.8726484687,-13515.0281870858,-25889.8751420531
340,18320.9734923814,-15441.8291756381,-25734.0427977183
340.5,16999.5271930702,-17299.5616762668,-25475.2481809372
341,15600.23643723,-19080.1194134683,-25114.2868484161
341.5,14130.3892175951,-20775.9453222437,-24652.3312580303
342,12597.8082810441,-22380.0805940455,-24090.9267516309
342.5,11010.7967243617,-23886.2092523246,-23431.9861660771
343,9378.08013640738,-25288.6979452664,-22677.7830930767
343.5,7708.74571224632,-26582.6306797013,-21830.9438133473
344,6012.1787885009,-27763.8382593112,-20894.4379354131
344.5,4297.99726940094,-28828.9222317854,-19871.5677740289
345,2575.98442938266,-29775.2731931317,-18765.9565077442
345.5,856.020590303169,-30601.0833424471,-17581.5351594769
346,-851.985820852135,-31305.3532265984,-16322.5284481421
346.5,-2538.1673246722,-31887.8926608939,-14993.4395633682
347,-4192.76604480461,-32349.3158583597,-13599.0339191088
347.5,-5806.20146476742,-32691.0308460826,-12144.3219455273
348,-7369.13679543343,-32915.2232916433,-10634.5409818705
348.5,-8872.54347779282,-33024.834905378,-9075.13633615609
349,-10307.7633650668,-33023.5366245453,-7471.74158036963
349.5,-11666.5681515822,-32915.6968229541,-5830.15815248723
350,-12941.2156426248,-32706.3448238356,-4156.33433901377
350.5,-14124.5024892988,-32401.1300243775,-2456.34371384
351,-15209.8130447352,-32006.2769671511,-736.363111076676
351.5,-16191.1640322713,-31528.5367165055,997.349788886215
352,-17063.2447519369,-30975.1349168288,2738.47917952424
352.5,-17821.4525881853,-30353.7169244164,4480.67407290378
353,-18461.9236187987,-29672.2904156851,6217.57138658347
353.5,-18981.5581617972,-28939.1658818244,7942.81908978111
354,-19378.041133575,-28162.8954239554,9650.09932566428
354.5,-19649.8571270165,-27352.2102638088,11333.1514266678
355,-19796.3001527169,-26515.9573831919,12985.7947400643
355.5,-19817.4780194382,-25663.0357014737,14601.9511816133
356,-19714.311361433,-24802.3321943764,16175.6674359906
356.5,-19488.5273502014,-23942.6583498876,17701.1367238539
357,-19142.6481566144,-23092.6873484581,19172.7200568252
357.5,-18679.9742562229,-22260.8923451338,20584.9669033718
358,-18104.5626960824,-21455.4862211476,21932.6351905344
358.5,-17421.2004657373,-20684.3631619649,23210.7105686881
359,-16635.3731383175,-19955.0424079579,24414.4248690111
359.5,-15753.2289702104,-19274.6145128523,25539.2736860931
360,-14781.5386696986,-18649.69043381,26581.0330211077
360.5,-13727.6510664948,-18086.3537654093,27535.7749242179
361,-12599.4449354297,-17590.1164177099,28399.8820783545
361.5,-11405.2772487844,-17165.8780258155,29170.0612702045
362,-10153.9281529929,-16817.8893646388,29843.3556981534
362.5,-8854.54298667825,-16549.7200276103,30417.1560710388
363,-7516.57167819209,-16364.2306115569,30889.2104558654
363.5,-6149.70588186401,-16263.5496315735,31257.6328371084
364,-4763.81423285061,-16249.055369111,31520.9103548597
364.5,-3368.87612052226,-16321.3628334216,31677.9091938492
365,-1974.914399404,-16480.3159906919,31727.8791002706
365.5,-591.927474391658,-16724.9853864769,31670.4565083537
366,770.178787159473,-17053.6712553163,31505.6662637221
366.5,2101.65885031909,-17463.9121766453,31233.9219357431
367,3392.99453756367,-17952.4992983948,30856.0247162935
367.5,4634.96079961032,-18515.4961091799,30373.1609076123
368,5818.68974434747,-19148.2636970203,29786.8980071581
368.5,6935.73243692222,-19845.4913874965,29099.1794026295
369,7978.11798960081,-20601.2326076584,28312.317695498
369.5,8938.4094706536,-21408.945774456,27428.9866765429
370,9809.75617747475,-22261.5399586535,26452.2119819289
370.5,10585.9418405685,-23151.4250278696,25385.3604633128
371,11261.4283519301,-24070.5659263643,24232.1283102895
371.5,11831.3946436165,-25010.5407052884,22996.5279681576
372,12291.7703796795,-25962.6018761514,21682.8738984919
372.5,12639.2641667643,-26917.7406230453,20295.7672343258
373,12871.3860350376,-27866.7533764245,18840.0793858634
373.5,12986.4639911003,-28800.3102236581,17320.9346565313
374,12983.6544974302,-29709.0246096979,15743.6919328364
374.5,12862.9467879117,-30583.5237654993,14113.9255149018
375,12625.1609852732,-31414.5192925992,12437.4051576968
375.5,12271.9400429022,-32192.8773296644,10720.0753958449
376,11805.7355896458,-32909.6877309074,8968.03422748556
376.5,11229.7878109783,-33556.3316968828,7187.51123495549
377,10548.0995524922,-34124.547315072,5384.8452220647
377.5,9765.40488132842,-34606.4924904348,3566.4614494324
378,8887.132387215,-34994.8047742464,1738.84855074647
378.5,7919.36354671741,-35282.6576324421,-91.4647861086869
379,6868.78651166501,-35463.8127316798,-1917.93328833706
379.5,5742.64571521302,-35532.6678616921,-3734.01863274606
380,4548.68771644835,-35484.3001554714,-5533.21296015923
380.5,3295.10372679265,-35314.5043136816,-7309.06228455075
381,1990.4692787596,-35019.8255856926,-9055.18971219282
381.5,643.681510045643,-34597.5873061083,-10765.3183868784
382,-736.105456274088,-34045.9128319932,-12433.2940783547
382.5,-2139.54655119164,-33363.7417716517,-14053.1073324746
383,-3557.17273505744,-32550.8404403197,-15618.9151032346
383.5,-4979.4584289138,-31607.8065211166,-17125.0617888206
384,-6396.88892918234,-30536.0679508007,-18566.0995960097
384.5,-7800.02734284371,-29337.8760890773,-19936.8081597787
385,-9179.58059239987,-28016.2932673048,-21232.2133477353
385.5,-10526.4640540352,-26575.174847402,-22447.6051820058
386,-11831.8644081912,-25019.1459545816,-23578.5548144733
386.5,-13087.3002989878,-23353.5730782954,-24620.9304947559
387,-14284.6804173761,-21584.5307645639,-25570.912474022
387.5,-15416.3586424649,-19718.7636497986,-26425.006791659
388,-16475.1858960514,-17763.6441114155,-27180.0578959171
388.5,-17454.558386992,-15727.1258341034,-27833.2600539306
389,-18348.4619447062,-13617.693612625,-28382.1675109617
389.5,-19151.5121648662,-11444.3097325546,-28824.7033632891
390,-19858.9901152949,-9216.35728940367,-29159.1671138723
390.5,-20466.8733763655,-6943.58082413345,-29384.2408847279
391,-20971.8622178651,-4636.02466901775,-29498.9942648515
391.5,-21371.4007434525,-2303.96941208847,-29502.8877774776
392,-21663.69286454,42.1330991959458,-29395.7749554781
392.5,-21847.7129976995,2391.72578407102,-29177.9030187302
393,-21923.2114134839,4734.21294532595,-28849.9121523247
393.5,-21890.7141997793,7059.02703232135,-28412.8333895102
394,-21751.5178393074,9355.6951028325,-27868.085108255
394.5,-21507.6784384464,11613.9045366613,-27217.4681552501
395,-21161.9956828536,13823.5675574776,-26463.1596160365
395.5,-20717.9916340867,15974.8841263068,-25607.7052547142
396,-20179.8845201291,18058.4027806117,-24654.0106513564
396.5,-19552.5577109663,20065.0790071052,-23605.3310697889
397,-18841.52410763,21986.330754295,-22465.2600927977
