<Arduino is ready>
Dipole: 85.5,0.07,-0.55,0.27
Dipole: 86,0.03,-0.54,0.28
Dipole: 86.5,-0.01,-0.54,0.29
Dipole: 87,-0.05,-0.53,0.30
Dipole: 87.5,-0.09,-0.52,0.31
Dipole: 88,-0.13,-0.51,0.31
Dipole: 88.5,-0.17,-0.50,0.32
Dipole: 89,-0.21,-0.48,0.32
Dipole: 89.5,-0.25,-0.46,0.32
Dipole: 90,-0.28,-0.44,0.32
Dipole: 90.5,-0.32,-0.42,0.32
Dipole: 91,-0.35,-0.39,0.31
Dipole: 91.5,-0.38,-0.37,0.31
Dipole: 92,-0.41,-0.34,0.30
Dipole: 92.5,-0.44,-0.31,0.29
Dipole: 93,-0.47,-0.28,0.28
Dipole: 93.5,-0.49,-0.25,0.27
Dipole: 94,-0.51,-0.22,0.26
Dipole: 94.5,-0.53,-0.18,0.24
Dipole: 95,-0.55,-0.15,0.23
Dipole: 95.5,-0.56,-0.12,0.21
Dipole: 96,-0.58,-0.08,0.19
Dipole: 96.5,-0.59,-0.05,0.18
Dipole: 97,-0.59,-0.02,0.16
Dipole: 97.5,-0.60,0.01,0.14
Dipole: 98,-0.60,0.04,0.11
Dipole: 98.5,-0.60,0.07,0.09
Dipole: 99,-0.60,0.10,0.07
Dipole: 99.5,-0.60,0.13,0.05
Dipole: 100,-0.60,0.15,0.02
Dipole: 100.5,-0.59,0.18,-0.00
Dipole: 101,-0.58,0.20,-0.03
Dipole: 101.5,-0.57,0.22,-0.05
Dipole: 102,-0.56,0.24,-0.08
Dipole: 102.5,-0.55,0.26,-0.10
Dipole: 103,-0.54,0.27,-0.12
Dipole: 103.5,-0.53,0.28,-0.15
Dipole: 104,-0.51,0.29,-0.17
Dipole: 104.5,-0.50,0.30,-0.20
Dipole: 105,-0.49,0.31,-0.22
Dipole: 105.5,-0.47,0.31,-0.24
Dipole: 106,-0.46,0.32,-0.26
Dipole: 106.5,-0.45,0.32,-0.28
Dipole: 107,-0.44,0.32,-0.30
Dipole: 107.5,-0.42,0.31,-0.32
Dipole: 108,-0.41,0.31,-0.34
Dipole: 108.5,-0.41,0.30,-0.35
Dipole: 109,-0.40,0.30,-0.37
Dipole: 109.5,-0.39,0.29,-0.38
Dipole: 110,-0.38,0.28,-0.39
Dipole: 110.5,-0.38,0.27,-0.40
Dipole: 111,-0.38,0.26,-0.41
Dipole: 111.5,-0.37,0.25,-0.42
Dipole: 112,-0.37,0.24,-0.43
Dipole: 112.5,-0.38,0.23,-0.43
Dipole: 113,-0.38,0.22,-0.44
Dipole: 113.5,-0.38,0.21,-0.44
Dipole: 114,-0.39,0.20,-0.44
Dipole: 114.5,-0.39,0.19,-0.44
Dipole: 115,-0.40,0.18,-0.44
Dipole: 115.5,-0.41,0.17,-0.43
Dipole: 116,-0.42,0.16,-0.43
Dipole: 116.5,-0.43,0.16,-0.42
Dipole: 117,-0.44,0.16,-0.41
Dipole: 117.5,-0.45,0.15,-0.40
Dipole: 118,-0.46,0.15,-0.39
Dipole: 118.5,-0.47,0.15,-0.38
Dipole: 119,-0.48,0.15,-0.36
Dipole: 119.5,-0.49,0.16,-0.35
Dipole: 120,-0.50,0.16,-0.33
Dipole: 120.5,-0.51,0.17,-0.31
Dipole: 121,-0.52,0.18,-0.29
Dipole: 121.5,-0.52,0.19,-0.27
Dipole: 122,-0.53,0.20,-0.25
Dipole: 122.5,-0.53,0.21,-0.23
Dipole: 123,-0.54,0.23,-0.21
Dipole: 123.5,-0.54,0.24,-0.19
Dipole: 124,-0.54,0.26,-0.16
Dipole: 124.5,-0.54,0.28,-0.14
Dipole: 125,-0.53,0.29,-0.11
